sample	mean_coverage	median_coverage
268_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	27.1505	20
324_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	24.4912	18
325_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	33.8903	24
336_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	22.9262	17
337_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	21.0708	17
338_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	33.4618	24
339_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	20.458	16
340_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	21.9043	18
341_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	20.6525	16
153_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	20.4482	15
154_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	32.2136	24
183_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	36.2063	25
203_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	36.5049	24
204_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	23.1535	17
205_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	22.069	17
210_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	17.7149	13
211_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	26.6576	21
212_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	18.4859	14
219_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	17.5318	13
220_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	16.6852	13
234_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	17.9305	14
235_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	41.8836	31
271_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	29.0395	21
272_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	26.5415	19
290_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	31.015	23
291_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	46.3744	37
292_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	37.3478	24
293_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	48.3609	31
296_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	25.2731	19
297_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	20.4267	16
298_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	16.5922	13
12_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	26.6847	19
